epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,189.694,1.32462,1.32192,1.2272,0.83014,0.58337,0.62026,0.39853,1.45215,1.10498,1.3564,0.00998565,0.00332855,0.00998565,0.00332855,0.00998565,0.00332855,0.00998565,0.00332855
2,403.164,1.21058,0.8662,1.17172,0.81033,0.62285,0.66108,0.40918,1.45526,1.01792,1.40279,0.0193261,0.00644204,0.0193261,0.00644204,0.0193261,0.00644204,0.0193261,0.00644204
3,570.887,1.22898,0.82335,1.19021,0.65358,0.54898,0.54554,0.33159,1.56854,1.2202,1.55521,0.0280066,0.00933553,0.0280066,0.00933553,0.0280066,0.00933553,0.0280066,0.00933553
4,740.778,1.2243,0.78689,1.1835,0.7693,0.58989,0.65234,0.41556,1.57423,0.98834,1.48701,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
5,908.681,1.1567,0.7135,1.15143,0.7944,0.59469,0.66662,0.42982,1.47993,0.96799,1.47197,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
6,1088.23,1.11173,0.67811,1.13087,0.87777,0.63772,0.67819,0.43234,1.48932,0.91504,1.47769,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
7,1278.4,1.08098,0.64471,1.11555,0.8528,0.64682,0.69589,0.46036,1.43509,0.93648,1.45222,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
8,1467.47,1.0564,0.62396,1.10415,0.822,0.60595,0.65345,0.44027,1.45355,0.95536,1.43846,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
9,1640.64,1.03474,0.60503,1.09443,0.93263,0.57738,0.66875,0.44121,1.40021,0.90821,1.43587,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
10,1805.02,1.01041,0.58741,1.08094,0.87821,0.65433,0.72292,0.47734,1.46642,0.93639,1.47086,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
11,1970.56,0.99153,0.5707,1.0745,0.9121,0.62739,0.69273,0.44713,1.45144,0.92211,1.45793,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
12,2135.16,0.97874,0.56077,1.06741,0.85892,0.64051,0.72272,0.50109,1.4096,0.9265,1.46646,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
